案例标题,案例编号,公司,DOI,学科,行业,案例来源,案例类型,适用对象,出版时间,第一作者,其他作者,语种,关键字,案例标签,文章页数,教参页数,案例摘要
中国方太：企业传承与文化创新之旅,FDC-25018-1X-CC,宁波方太厨具有限公司, doi.org/10.12156/FUDAN.CASE202501801,组织行为,制造,复旦大学管理学院,标准案例,"MBA,EMBA,高层管理",2025-04-25,彭贺,"张春依,张新华,覃媛",中文,"企业文化,家族企业,创新,变革,东方管理",中国式现代化,23,12,厨电品牌头部企业方太集团由茅理翔和茅忠群父子于1996年创办，已成长为年营收超170亿元、员工逾16000名的全球化布局的家族企业。方太集团以中国传统文化为根基，探索出一套促进业务增长和产品创新的文化图谱。在方太发展过程中，家族的价值观和传统如何影响企业的创办、成长和传承？两代创始人如何构建属于不同时代的企业文化？
AA科技：韧性生长,FDC-23021-1X-CC,AA科技,doi.org/10.12156/FUDAN.CASE202302101,"综合管理,组织行为",生物技术/大健康,复旦大学管理学院,标准案例,"本科生,MBA,EMBA",2023-10-24,姚凯 ,蓝禹题,中文,"AA科技,组织韧性,韧性激活",科创,16,19,2015年，三位来自不同行业的专家共同创立了AA科技（化名）。然而，AA科技的发展历程并非一帆风顺。“科学家”兼“创业家”的难题、持续烧钱却不见收益的资金压力，以及新冠肺炎疫情的冲击，使得2020年的AA科技一度处在生死存亡的边缘。通过回顾AA科技在发展过程及危机环境下的组织韧性的激活与建构过程，探索企业组织韧性的形成机制，AA科技如何实现稳中有进的企业发展？
鹏程公司的治理难题, FDC-23022-1X-MC,鹏程公司,doi.org/10.12156/FUDAN.CASE202302201,综合管理,生物技术/大健康,复旦大学管理学院,短案例,"本科生,MBA,EMBA",2023-11-08,陆雄文,张春依,中文,"公司治理, 创业",科创,3,0,本案例根据真实商业案例改编，讨论科学家创业的治理难题。鹏程公司是一家创办于2013年的生物科技企业，以癌症早期筛查与诊断为主营业务，拥有覆盖常见癌症的丰富的产品管线，在创业五年内吸引了上亿元规模的A轮融资，员工数量从十几人上升至近500人。两位核心创始人李鹏和张程在经营理念上逐渐产生分歧。张程和投资人认为科学家李鹏过于专注科研，忽视了产品的商业化。2020年，张程主导引入新投资人，新投资人成为第一大股东，李鹏被董事会“逐出”日常管理，聘为科学顾问。这对鹏程公司的发展是一件好事吗？
东海证券：数据中台赋能商业模式,FDC-25016-1X-CC,东海证券,doi.org/10.12156/FUDAN.CASE202501601,信息技术,金融/保险,复旦大学管理学院,标准案例,"本科生,MBA,EMBA",2025-04-09,李根,"顾祎文,陈扬波",中文,"数据中台,数据孤岛,数据治理,业务赋能,数字化转型",数字中国,14,13,东海证券是一家总部位于江苏常州的地方性中型证券公司，业务涵盖证券经纪、投资银行、资产管理等领域。面对证券行业的同质化竞争，东海证券近年启动数据中台开发项目，力图将数据打造为核心资产，实现数据赋能、推动和引领业务的目标。但数据中台如何才能满足公司日益增长的业务精细化管理及市场拓展需要，并推动现有业务系统和管理模式的改造，是东海证券需要应对的挑战。
天合光能是否应赴美建厂？,FDC-25014-1X-CC,天合光能股份有限公司,doi.org/10.12156/FUDAN.CASE202501401,战略,绿色环保,复旦大学管理学院,标准案例,"MBA,EMBA,其他研究生,高层管理",2025-03-25,吴乐珍,吴肖乐，樊瑞娜，张洁友,中文,"光伏产业,全球化,战略,出海,风险",科创,16,19,天合光能是国内光伏行业头部企业。在其全球化战略指引下，天合光能的销售网络遍布全球160多个国家和地区，覆盖东南亚、欧洲、中东、南美等市场。美国是全球最大的太阳能市场之一，具有巨大的市场潜力和高利润空间，且美国政府对光伏产业提供了多种形式的补贴政策。同时美国实施“双反”措施，限制了中国光伏产品直接出口美国。天合光能是否要赴美国建厂？应如何评估出海风险？
从多源多分类数据分析产品设计——以BC公司的艺术杯产品为例,FDC-25015-1X-CC,BC公司,doi.org/10.12156/FUDAN.CASE202501501,其他,制造,复旦大学管理学院,标准案例,"本科生,其他研究生",2025-03-31,邵凌轩,,中文,"特征预测,多源数据,多分类数据",数字中国,7,8,BC公司是某知名连锁咖啡品牌的主要艺术杯供应商，负责为该咖啡品牌设计、提供多样化的艺术杯产品。为了进一步优化艺术杯的设计并显著提升销售业绩和利润率，BC公司计划综合利用两类数据构建一个艺术杯推荐模型，但其面临的困境在于：历史销售数据提供了对过往产品表现的洞察，而市场调研结果则反映了当前和未来的市场趋势及消费者偏好，该模型应如何整合来自不同来源的数据，从而解决多分类问题带来的挑战？
西班牙IE商学院：吸引中国留学生,FDC-25008-1X-AC,IE商学院,doi.org/10.12156/FUDAN.CASE202500801,市场营销,教育服务,鲸鸿动能,案例文章,"本科生,MBA,EMBA,其他研究生,高层管理",2025-02-17,鲸鸿动能,案例中心,中文,品效结合，品牌声量，线索收集,数字中国,10,0,西班牙IE商学院成立于1973年，是欧洲知名商学院。为开拓中国留学市场，应对与中国本土院校和其他海外院校的激烈竞争，IE商学院与鲸鸿动能展开营销合作，通过精准定位目标人群，采用品效结合的广告投放策略，并持续优化投放内容和方式，提升了品牌知名度，获得了有效线索。
伊利金领冠的新春热点事件营销,FDC-25003-1X-AC,内蒙古伊利实业集团股份有限公司,doi.org/10.12156/FUDAN.CASE202500301,市场营销,贸易/批发/零售,鲸鸿动能,案例文章,"本科生,MBA,EMBA,其他研究生,高层管理",2025-02-25,鲸鸿动能,案例中心,中文,全场景推广，精准营销，用户生成内容，AI,数字中国,9,0,伊利金领冠是伊利集团旗下的婴幼儿配方奶粉品牌，为充分激发品牌声量与用户认知，伊利金领冠与鲸鸿动能合作，针对2024年春节开展新春热点营销。双方以趣味性和科技感为核心，共同策划了“超凡宝宝的第一支MV”热点事件，通过全场景整合营销，有效提升了品牌影响力并促进了销售增长。
Ecar Technology: Making Strategic Choices for Autonomous Delivery Vehicles,FDC-24004-2X-CE,Ecar Technology,doi.org/10.12156/FUDAN.CASE202400402,战略,新一代信息技术,复旦大学管理学院,标准案例,"本科生,MBA,EMBA,其他研究生,高层管理",2025-03-06,Shengming Liu,"Yujie Wang, Ke Ren, Luojia Li",英文,"Autonomous Delivery,  Ecosystem, Business Model, Organizational Strategic Choices",科创,16,11,"Ecar Technology, a Chinese startup, provides by-wire chassis technology and services for L4 autonomous driving, offering integrated solutions for the autonomous delivery vehicle industry, along with vehicle design, mold manufacturing, and assembly services. The industry was in an exploratory phase, facing policy and legal uncertainties, industry chain challenges, and business model ambiguities. Additionally, manufacturers, algorithm developers, operators, and park management entities were all entering the market, each pursuing distinct strategic agendas. After the outbreak of the COVID-19 pandemic in 2020, the demand for autonomous delivery vehicles surged. How should Ecar Technology, as a startup, position its strategy amidst this evolving landscape?"
Xiaoice: A Generative AI Company Specializing in Emotional Computing,FDC-24010-2X-CE,Xiaoice Company,doi.org/10.12156/FUDAN.CASE202401002,信息技术,新一代信息技术,复旦大学管理学院,标准案例,MBA,2025-03-05,Zhe Qu,"Xiaolin Wang, Jialiang Yu",英文,"Xiaoice Company, Generative AI, Dominant Design, Enabling Technology",科创,11,17,"Xiaoice, a generative AI incubated by Microsoft under CEO Li Di’s leadership, specializes in the Avatar Framework for emotional computing, aiming to emulate human-like interactions. In 2023, the launch of ChatGPT-4 introduced divergent architectural paradigms from Xiaoice's framework, with the transformer-based system maintaining a dominant market position in performance, scalability, and commercialization capabilities. Within the generative AI sector, technical architecture serves as a critical determinant of product performance and market reputation. Xiaoice now stands at a strategic crossroads: how to navigate its technological trajectory while scaling commercialization efforts amidst intensifying architectural competition."
CloudMinds: The Intellectual Property Strategy of A Robot Company,FDC-22014-2X-CE,CloudMinds Technology,doi.org/10.12156/FUDAN.CASE202201402,"创新创业,综合管理",新一代信息技术,复旦大学管理学院,标准案例,"MBA,EMBA,高层管理",2025-03-03,Xianghua Lu,"Chunyi Zhang, Yujie Wang",英文,"CloudMinds Technology, Intellectual Property, Patent Management, Entrepreneurial Management, Cloud Robotics",科创,13,14,"CloudMinds, founded in Beijing in 2015 by Bill Huang, renowned as the ""Father of Xiaolingtong,"" specializes in cloud-based intelligent robotics solutions that integrate cutting-edge converging technologies including communications, blockchain, and computer vision. The company’s cross-domain IP portfolios span these technologically intertwined fields, creating multilayered innovation ecosystems. How could CloudMinds architect synergistic alignment between its intellectual IP strategy and corporate growth objectives, while cultivating human capital to fortify defensible IP moats through sustained technological breakthroughs? "
Future Mind: A Pioneer in Big-Data–Driven Smart Sports,FDC-23005-2X-CE,Future Mind,doi.org/10.12156/FUDAN.CASE202300502,信息技术,高端装备,复旦大学管理学院,标准案例,MBA,2025-02-28,Gen Li,"Yao Zhao, Yangbo Chen",英文,"Future Mind, Artificial Intelligence, Human-Machine Interaction, Motion-Controlled Game",科创,13,15,"Future Mind provides application-specific robotic systems engineered for the technical demands of competitive table tennis, requiring substantial R&D investment. However, its ultra-niche development faces commercialization challenges due to limited market scalability. Key strategic questions emerge: How to achieve product-market fit innovation within this vertical domain? How disruptive technologies gain acceptance in tradition-driven sports markets? What pathways exist for sustainable market penetration beyond the core niche?"
蔚来：开创电动汽车BaaS模式,FDC-24021-1X-CC,上海蔚来汽车有限公司,doi.org/10.12156/FUDAN.CASE202402101,市场营销,新能源,复旦大学管理学院,标准案例,"本科生,MBA,EMBA,高层管理",2024-12-12,许梦然,金立印，张洁友，沈梦媛,中文,充换电网络，BaaS，新能源汽车，品牌价值创建，可持续发展，营销策略,科创,16,26,电动汽车品牌蔚来针对用户的需求，首推BaaS（Battery as a Service）商业模式，提供“车电分离、电池租用、可充可换可升级”的加电服务。蔚来希望将BaaS作为营销工具，但是面临新的抉择：该专注于产品价格调节还是聚焦社会能源调节呢？
超级猩猩：突破重围,FDC-25012-1X-CC,深圳市超级猩猩健身管理有限公司,doi.org/10.12156/FUDAN.CASE202501201,市场营销,艺术/娱乐/体育/休闲,复旦大学管理学院,标准案例,"本科生,MBA,EMBA",2025-01-15,张喆,王啸林,中文,健身服务行业，市场价值，增长战略，创新创业,,16,21,超级猩猩是中国新兴的健身品牌，以专业团课、精简场地配置和按次付费、无推销的模式，吸引了大量年轻白领用户。2020年以来，超级猩猩门店扩张持续减缓，教练流失率逐渐增加，2021年之后未获新的融资。随着类似模式的健身市场竞争加剧，超级猩猩未来增长的关键到底是什么，门店规模、产品设计抑或是教练管理？
